Armchairs	10	15
Alcohol	10.1	15.15
Banister Knob	10.201	15.3015
Bar Stools	10.30301	15.454515
Bathroom Lights	10.4060401	15.60906015
Bedsheets	10.5101005	15.76515075
Bell	10.61520151	15.92280226
Books	10.72135352	16.08203028
Bookshelves	10.82856706	16.24285058
Boxes/Crates	10.93685273	16.40527909
Broom	11.04622125	16.56933188
Bucket	11.15668347	16.7350252
Candles	11.2682503	16.90237545
Chandelier	11.3809328	17.07139921
Circuit Breaker	11.49474213	17.2421132
Cleaning Spray	11.60968955	17.41453433
Clothes	11.72578645	17.58867967
Couch	11.84304431	17.76456647
Curtains	11.96147476	17.94221214
Cutlery Drawer	12.0810895	18.12163426
Dish Towels	12.2019004	18.3028506
Doors	12.3239194	18.48587911
Dresser	12.4471586	18.6707379
Dryer	12.57163018	18.85744528
Fireplace	12.69734649	19.04601973
Food	12.82431995	19.23647993
Guest Luggage	12.95256315	19.42884472
Kitchen Knives	13.08208878	19.62313317
Mirrors	13.21290967	19.8193645
Mop	13.34503877	20.01755815
Mouse Traps	13.47848915	20.21773373
Office Chair	13.61327404	20.41991107
Office Desk	13.74940679	20.62411018
Picture Frames	13.88690085	20.83035128
Pillows	14.02576986	21.03865479
Pull Chain Light	14.16602756	21.24904134
Radio	14.30768784	21.46153175
Rotary Phone	14.45076471	21.67614707
Rug	14.59527236	21.89290854
Sconces	14.74122509	22.11183763
Silverware	14.88863734	22.332956
Sink	15.03752371	22.55628556
Soap Bottle	15.18789895	22.78184842
Spices	15.33977794	23.0096669
Stairs	15.49317572	23.23976357
Stove/Oven	15.64810747	23.47216121
Stuffed Animals	15.80458855	23.70688282
Tables	15.96263443	23.94395165
Toilets	16.12226078	24.18339117
Toothbrushes	16.28348338	24.42522508
Vases	16.44631822	24.66947733
Broken Vase	16.6107814	24.9161721
Washer	16.77688921	25.16533382
Water Pipe	16.94465811	25.41698716
Wine Bottles	17.11410469	25.67115703
Broken Wine Bottle	17.28524573	25.9278686
Wine Casks	17.45809819	26.18714729
Broken Wine Cask	17.63267917	26.44901876
Wine Glasses	17.80900597	26.71350895
Broken Wine Glass	17.98709603	26.98064404
